"pitcher","taggedpitchtype","relspeed","horzbreak","inducedvertbreak","spinrate","horzapprangle","vertapprangle","platelocside","platelocheight","session_date","pitchno","pitch_no_seq","plate_side_in","plate_side_in_clamped","plate_height_ft_clamped","in_pzr_zone"
"Pitcher X","Fastball","87.30603249","8.965576466","18.6739056","2181.790778","-0.938630494","-4.54350098","-0.480294967","2.767271519","2025-09-05",14,"28","-5.763539604","-5.763539604","2.767271519",1
"Pitcher X","Fastball","86.59669286","8.808024796","19.23048749","2273.043465","-1.516460169","-4.923690379","-1.277407974","2.248462528","2025-09-05",15,"29","-15.328895688","-15.328895688","2.248462528",0
"Pitcher X","Fastball","86.59669286","8.808024796","19.23048749","2273.043465","-1.516460169","-4.923690379","-1.277407974","2.248462528","2025-09-05",15,"30","-15.328895688","-15.328895688","2.248462528",0
"Pitcher X","Curveball","73.76898016","-11.21162664","-11.86621617","2388.155754","-4.384954283","-10.6431975","-1.629566162","1.207652366","2025-09-05",16,"31","-19.554793944","-19.554793944","1.207652366",0
"Pitcher X","Curveball","73.76898016","-11.21162664","-11.86621617","2388.155754","-4.384954283","-10.6431975","-1.629566162","1.207652366","2025-09-05",16,"32","-19.554793944","-19.554793944","1.207652366",0
"Pitcher X","Curveball","73.68883443","-12.57529569","-11.24023242","2423.914248","-3.929988677","-8.052236509","-0.904722789","3.420717684","2025-09-05",17,"33","-10.856673468","-10.856673468","3.420717684",1
"Pitcher X","Curveball","73.68883443","-12.57529569","-11.24023242","2423.914248","-3.929988677","-8.052236509","-0.904722789","3.420717684","2025-09-05",17,"34","-10.856673468","-10.856673468","3.420717684",1
"Pitcher X","Fastball","87.03924885","11.17150469","18.67411804","2233.789099","-0.455426554","-4.145680329","-0.00255608","2.717863995","2025-09-05",18,"35","-0.03067296","-0.03067296","2.717863995",1
"Pitcher X","Fastball","87.03924885","11.17150469","18.67411804","2233.789099","-0.455426554","-4.145680329","-0.00255608","2.717863995","2025-09-05",18,"36","-0.03067296","-0.03067296","2.717863995",1
"Pitcher X",NULL,"86.54729887","6.865988959","19.15773851","2249.619534","-0.446350719","-2.060659694","-0.337250713","4.941836212","2025-11-07",1,"37","-4.047008556","-4.047008556","4.941836212",0
"Pitcher X","Fastball","86.10679329","5.575916526","19.52933897","2289.644075","-0.008306378","-3.962005761","-0.312363763","2.850090569","2025-11-07",2,"38","-3.748365156","-3.748365156","2.850090569",1
"Pitcher X",NULL,"75.38779602","-7.552552977","-2.041929314","2535.967669","-3.692327244","-6.342401469","-0.464544198","4.203317736","2025-11-07",3,"39","-5.574530376","-5.574530376","4.203317736",0
"Pitcher X","Fastball","86.0298745","6.257311725","18.53021638","2225.58142","-1.586357192","-3.248725342","0.033691975","3.583518133","2025-11-07",4,"40","0.4043037","0.4043037","3.583518133",1
"Pitcher X","Fastball","88.58139649","4.803789201","18.61819782","2266.809792","-0.428364319","-4.518896442","-0.569607766","2.206696209","2025-11-07",5,"41","-6.835293192","-6.835293192","2.206696209",1
"Pitcher X","Slider","75.76869754","-9.881791068","-4.14194009","2573.878365","-3.415406937","-9.85625569","-0.313118072","1.254733127","2025-11-07",6,"42","-3.7574168640000005","-3.7574168640000005","1.254733127",0
"Pitcher X","Slider","75.49119556","-10.11273237","-2.682800896","2497.717016","-2.34142602","-7.169087007","0.305833405","3.2968521","2025-11-07",7,"43","3.67000086","3.67000086","3.2968521",1
"Pitcher X","Fastball","86.65569397","7.649580042","18.50678445","2297.16285","-1.377305358","-4.677843787","-0.321162523","2.490643843","2025-11-07",8,"44","-3.853950276","-3.853950276","2.490643843",1
"Pitcher X",NULL,"87.21075134","7.287150371","18.45111502","2308.383515","-0.658671523","-2.43848969","0.282715375","4.110085453","2025-11-07",9,"45","3.3925845","3.3925845","4.110085453",0
"Pitcher X","Fastball","87.46699368","8.182847214","17.53150284","2348.386536","-1.721174214","-5.491397034","-0.553592683","1.452209785","2025-11-07",10,"46","-6.643112196","-6.643112196","1.452209785",1
"Pitcher X","Fastball","86.99542668","7.791385832","18.75125526","2313.751007","1.017612305","-4.683423405","1.286650257","2.331029141","2025-11-07",11,"47","15.439803084000001","15.439803084000001","2.331029141",0
"Pitcher X","Fastball","86.11871088","6.375368039","18.45593321","2303.142363","-2.084183101","-2.623806631","-1.045315499","4.027890931","2025-11-07",12,"48","-12.543785988","-12.543785988","4.027890931",0
"Pitcher X","Fastball","86.95726344","8.248190761","18.44962916","2285.786647","0.375168669","-3.421189757","0.879740153","3.319196568","2025-11-07",13,"49","10.556881835999999","10.556881835999999","3.319196568",1
"Pitcher X","Fastball","86.91120722","8.491173057","18.58947759","2312.72582","-0.782552732","-3.117364379","-0.447435458","3.59275263","2025-11-07",14,"50","-5.369225496","-5.369225496","3.59275263",1
"Pitcher X","Fastball","87.37676809","8.05723859","17.54214234","2274.840238","-0.374510901","-3.557632511","-0.098138605","3.444412454","2025-11-07",15,"51","-1.17766326","-1.17766326","3.444412454",1
"Pitcher X","Slider","77.69540548","-8.798394458","-0.894474098","2557.770416","-3.070961337","-5.158518663","-0.364144143","4.489727536","2025-11-07",16,"52","-4.369729716","-4.369729716","4.489727536",0
"Pitcher X","Slider","79.29668133","-7.855594325","-1.321234018","2506.559525","-2.933137365","-8.663668468","-0.542672948","0.953766256","2025-11-07",17,"53","-6.512075376","-6.512075376","0.953766256",0
